antibody,ligand,error
1G10,ddhC,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/1G10__ddhC/top_pose/1G10_ddhC_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
1G10,ddhU,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/1G10__ddhU/top_pose/1G10_ddhU_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
1G10,cytidine,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/1G10__cytidine/top_pose/1G10_cytidine_P002_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
1G10,ddhCTP,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/1G10__ddhCTP/top_pose/1G10_ddhCTP_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
4E2,ddhC,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/4E2__ddhC/top_pose/4E2_ddhC_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
4E2,ddhU,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/4E2__ddhU/top_pose/4E2_ddhU_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
4E2,cytidine,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/4E2__cytidine/top_pose/4E2_cytidine_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
4E2,ddhCTP,/Users/nf477/Projects_Natalia/GROMACS/gromacs_ab_ligand_toolkit/ab_ligand_md_8complexes/computational_DMS_top_occupancy_poses/4E2__ddhCTP/top_pose/4E2_ddhCTP_P001_WT_top_pose.pdb: no antibody heavy-atom contacts within 4.000 A of ligand residue MOL.
